Temperature,Zoospores,Cite
15.9,955,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
19.5,11,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
22.4,65,"Kriger, K. M., & Hero, J.-M. (2007). Large-scale seasonal variation in the prevalence and severity of chytridiomycosis. Journal of Zoology (1987), 271(3), 352–359. https://doi.org/10.1111/j.1469-7998.2006.00220.x"
26.7,62,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.6,29,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.4,2139,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.9,17,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.5,86,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.7,50,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.9,162,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
27.1,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
27.1,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.3,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
26.1,24,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
25.3,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
24.7,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
23.7,103,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
22.8,7406,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
23.3,192,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
23.2,333,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
22.9,391,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
22.7,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
22.1,235,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
21.8,14,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
21.5,507,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
21.3,0,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
22.1,173,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
21.2,1854,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
20.8,18,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
20.3,840,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
19.8,2207,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
18.5,3160,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
18.8,5035,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
17.9,10153,"Kriger, K. M., Pereoglou, F., & Hero, J.-M. (2007). Latitudinal Variation in the Prevalence and Intensity of Chytrid (Batrachochytrium dendrobatidis) Infection in Eastern Australia. Conservation Biology, 21(5), 1280–1290. https://doi.org/10.1111/j.1523-1739.2007.00777.x"
4,699,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687084"
12,815,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687085"
17,490,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687086"
21,252.5,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687087"
4,550,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687088"
12,71,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687089"
17,9,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687090"
21,6,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687091"
4,104.5,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687092"
12,163.5,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687093"
17,145,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687094"
21,64,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687095"
4,106.5,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687096"
12,97.5,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687097"
17,225.5,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687098"
21,175,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687099"
4,66,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687100"
12,116,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687101"
17,151,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687102"
21,142,"Sheets, C. N., Schmidt, D. R., Hurtado, P. J., Byrne, A. Q., Rosenblum, E. B., Richards-Zawacki, C. L., & Voyles, J. (2021). Thermal Performance Curves of Multiple Isolates of Batrachochytrium dendrobatidis, a Lethal Pathogen of Amphibians. Frontiers in Veterinary Science, 8, 687084–687084. https://doi.org/10.3389/fvets.2021.687103"
